service,distance,experience,hour,is_peak_hour,rain_ratio,completion_time
Sửa chữa và bảo dưỡng điện dân dụng,13,4.488759078528604,6,0,1.0,121
Sửa chữa và bảo dưỡng hệ thống nước,14,3.5965572962850487,9,1,0.5,138
Sửa chữa và bảo dưỡng máy in,32,21.171787980484815,9,1,1.0,140
Sửa chữa và bảo dưỡng quạt điện,9,0.3397578243845022,18,1,0.0,76
Sửa chữa và bảo dưỡng ô tô,16,3.8711158096091056,16,1,0.0,242
Sửa chữa và bảo dưỡng xe máy,2,0.8241872407248441,7,1,1.0,114
Sửa chữa và bảo dưỡng TV,15,0.675910129089097,10,0,1.0,160
Sửa chữa và bảo dưỡng ô tô,2,1.7878419129881864,12,0,0.5,221
Sửa chữa và bảo dưỡng quạt điện,2,12.911174020460395,17,1,0.5,35
Sửa chữa và bảo dưỡng xe máy,4,16.57909675794808,7,1,0.5,70
Sửa chữa và bảo dưỡng xe máy,31,5.417087198981682,21,0,1.0,137
Sửa chữa và bảo dưỡng TV,9,18.97318106269099,7,1,0.0,109
Sửa chữa và bảo dưỡng ô tô,7,2.9461564378278045,7,1,1.0,263
Sửa chữa và bảo dưỡng điện dân dụng,19,4.668112784691309,15,1,0.0,117
Sửa chữa và bảo dưỡng tủ lạnh,19,10.634209264487591,21,0,0.0,107
Sửa chữa và bảo dưỡng xe máy,7,3.5851413541161063,11,0,0.0,78
Sửa chữa và bảo dưỡng xe máy,15,21.834476639889772,6,0,1.0,85
Sửa chữa và bảo dưỡng quạt điện,10,7.300085350055532,23,0,1.0,60
Sửa chữa và bảo dưỡng hệ thống nước,6,13.506713949975238,3,0,1.0,89
Sửa chữa và bảo dưỡng quạt điện,24,28.19747528731413,19,1,0.0,78
Sửa chữa và bảo dưỡng laptop,30,13.660966744159316,15,1,0.0,140
Sửa chữa và bảo dưỡng hệ thống nước,13,2.878388384967788,7,1,1.0,166
Sửa chữa và bảo dưỡng TV,9,3.491889568096213,21,0,0.5,102
Sửa chữa và bảo dưỡng điện thoại,47,2.187964222451681,18,1,0.5,163
Sửa chữa và bảo dưỡng nồi cơm điện,12,2.8454406640462797,12,0,0.0,71
Sửa chữa và bảo dưỡng ô tô,10,20.10203018856963,7,1,1.0,188
Sửa chữa và bảo dưỡng điện thoại,18,1.7241890625916887,21,0,1.0,105
Sửa chữa và bảo dưỡng máy giặt,3,18.500547901008154,3,0,0.0,90
Sửa chữa và bảo dưỡng tủ lạnh,22,5.382261009086713,6,0,0.0,151
Sửa chữa và bảo dưỡng hệ thống nước,31,2.6679988942323325,10,0,0.0,171
Sửa chữa và bảo dưỡng laptop,30,0.6968953089447769,22,0,1.0,175
Sửa chữa và bảo dưỡng máy giặt,37,5.963999343932864,11,0,1.0,214
Sửa chữa và bảo dưỡng TV,34,7.427402842660716,6,0,0.5,167
Sửa chữa và bảo dưỡng máy in,4,3.4997496200587332,11,0,0.0,62
Sửa chữa và bảo dưỡng ô tô,16,12.522719422503982,12,0,0.5,226
Sửa chữa và bảo dưỡng điện dân dụng,16,0.6715326608015879,6,0,0.0,130
Sửa chữa và bảo dưỡng hệ thống nước,16,0.2145489452808983,3,0,0.0,149
Sửa chữa và bảo dưỡng hệ thống nước,2,3.776787890401059,0,0,1.0,117
Sửa chữa và bảo dưỡng quạt điện,3,21.175909081725734,0,0,0.0,11
Sửa chữa và bảo dưỡng máy giặt,9,23.433982965727324,8,1,0.0,113
Sửa chữa và bảo dưỡng nồi cơm điện,28,1.811614992637192,14,1,1.0,131
Sửa chữa và bảo dưỡng lò vi sóng,9,25.37103658849923,15,1,1.0,87
Sửa chữa và bảo dưỡng máy lạnh,9,4.547689299054783,9,1,0.5,151
Sửa chữa và bảo dưỡng tủ lạnh,30,3.1989637992468762,6,0,0.0,154
Sửa chữa và bảo dưỡng TV,20,0.19372093890764042,6,0,1.0,154
Sửa chữa và bảo dưỡng máy in,2,28.345107997664517,14,1,1.0,72
Sửa chữa và bảo dưỡng ô tô,13,17.107100056323368,21,0,0.0,198
Sửa chữa và bảo dưỡng điện thoại,34,5.269672853750553,22,0,0.5,121
Sửa chữa và bảo dưỡng máy in,14,19.713261310708802,12,0,1.0,83
Sửa chữa và bảo dưỡng xe máy,18,22.976605631297417,18,1,0.0,101
Sửa chữa và bảo dưỡng laptop,3,25.76302164502855,11,0,0.0,81
Sửa chữa và bảo dưỡng lò vi sóng,7,13.41912875046114,22,0,1.0,74
Sửa chữa và bảo dưỡng laptop,8,3.880767825259827,23,0,0.5,107
Sửa chữa và bảo dưỡng xe máy,17,16.234862156042198,14,1,0.0,118
Sửa chữa và bảo dưỡng máy lạnh,21,3.0917653614925222,18,1,1.0,198
Sửa chữa và bảo dưỡng điện dân dụng,10,9.346157544321091,16,1,1.0,117
Sửa chữa và bảo dưỡng điện dân dụng,14,10.351110514610921,9,1,1.0,117
Sửa chữa và bảo dưỡng ô tô,34,2.7778791408641887,21,0,0.0,262
Sửa chữa và bảo dưỡng laptop,15,3.224088981695678,23,0,1.0,141
Sửa chữa và bảo dưỡng máy tính,38,0.3313396820154604,11,0,0.5,173
Sửa chữa và bảo dưỡng điện dân dụng,17,5.105516476768461,23,0,0.5,124
Sửa chữa và bảo dưỡng xe máy,34,1.855924549638796,12,0,1.0,181
Sửa chữa và bảo dưỡng máy lạnh,5,9.612161641432259,18,1,0.5,132
Sửa chữa và bảo dưỡng TV,7,5.401661969045209,10,0,1.0,130
Sửa chữa và bảo dưỡng điện thoại,34,9.980710494235264,0,0,0.0,103
Sửa chữa và bảo dưỡng máy giặt,15,26.432467220310713,0,0,0.0,130
Sửa chữa và bảo dưỡng TV,3,5.952546502612305,2,0,1.0,110
Sửa chữa và bảo dưỡng quạt điện,8,15.130349297011934,15,1,0.0,39
Sửa chữa và bảo dưỡng máy in,11,23.844445747267343,11,0,0.0,65
Sửa chữa và bảo dưỡng nồi cơm điện,6,1.6958136214416988,15,1,1.0,88
Sửa chữa và bảo dưỡng điện dân dụng,23,1.8464306707856657,12,0,0.0,135
Sửa chữa và bảo dưỡng máy lạnh,6,17.265276390092016,23,0,1.0,133
Sửa chữa và bảo dưỡng tủ lạnh,20,2.1598884920714916,8,1,1.0,168
Sửa chữa và bảo dưỡng điện thoại,34,28.481667283192618,11,0,1.0,116
Sửa chữa và bảo dưỡng xe máy,10,6.875600312707254,15,1,0.0,103
Sửa chữa và bảo dưỡng nồi cơm điện,5,18.526070341448875,7,1,0.0,36
Sửa chữa và bảo dưỡng quạt điện,8,1.5606272218689443,14,1,0.0,65
Sửa chữa và bảo dưỡng máy giặt,43,9.00294320072911,17,1,1.0,197
Sửa chữa và bảo dưỡng TV,19,3.269701442032284,9,1,1.0,139
Sửa chữa và bảo dưỡng máy tính,11,13.730446674601065,18,1,1.0,100
Sửa chữa và bảo dưỡng tủ lạnh,37,2.3964887714711374,8,1,0.0,182
Sửa chữa và bảo dưỡng nồi cơm điện,6,0.8170975513824535,11,0,0.0,70
Sửa chữa và bảo dưỡng máy giặt,14,2.7631576213095426,1,0,0.0,142
Sửa chữa và bảo dưỡng điện dân dụng,31,26.124278009608766,10,0,0.5,127
Sửa chữa và bảo dưỡng máy giặt,16,6.254666580123869,5,0,0.5,155
Sửa chữa và bảo dưỡng tủ lạnh,5,2.4258918817293753,16,1,0.5,119
Sửa chữa và bảo dưỡng nồi cơm điện,24,11.179796279229457,19,1,0.0,79
Sửa chữa và bảo dưỡng máy tính,5,0.5893528001178603,6,0,0.5,86
Sửa chữa và bảo dưỡng laptop,2,1.8592045090584197,5,0,0.5,107
Sửa chữa và bảo dưỡng quạt điện,15,5.103693633431503,10,0,0.5,67
Sửa chữa và bảo dưỡng TV,9,4.390823580037818,11,0,0.0,100
Sửa chữa và bảo dưỡng lò vi sóng,40,14.170466864590697,11,0,0.0,145
Sửa chữa và bảo dưỡng hệ thống nước,42,12.549296204621234,6,0,1.0,174
Sửa chữa và bảo dưỡng ô tô,7,14.985977817839544,8,1,1.0,171
Sửa chữa và bảo dưỡng quạt điện,23,15.29465671843551,22,0,1.0,78
Sửa chữa và bảo dưỡng quạt điện,11,15.83699609911124,4,0,0.0,35
Sửa chữa và bảo dưỡng điện thoại,24,2.464353308879244,22,0,0.0,105
Sửa chữa và bảo dưỡng máy lạnh,22,0.633784059080531,18,1,1.0,228
Sửa chữa và bảo dưỡng hệ thống nước,20,2.6729059076929653,3,0,1.0,154
Sửa chữa và bảo dưỡng tủ lạnh,22,28.10768712946495,10,0,0.0,129
Sửa chữa và bảo dưỡng điện thoại,24,1.8980579022975226,20,0,0.0,113
Sửa chữa và bảo dưỡng tủ lạnh,9,3.190088347332419,4,0,0.5,121
Sửa chữa và bảo dưỡng lò vi sóng,25,3.9937112064482156,9,1,0.5,138
Sửa chữa và bảo dưỡng máy tính,29,18.719513721681047,16,1,0.5,119
Sửa chữa và bảo dưỡng nồi cơm điện,1,22.299571033999403,13,0,0.5,23
Sửa chữa và bảo dưỡng quạt điện,31,2.1652650096779738,12,0,1.0,106
Sửa chữa và bảo dưỡng máy in,30,5.142332722801928,6,0,1.0,144
Sửa chữa và bảo dưỡng TV,15,5.866203311267968,2,0,0.5,110
Sửa chữa và bảo dưỡng hệ thống nước,33,4.155074931331109,3,0,0.0,168
Sửa chữa và bảo dưỡng máy in,11,2.0766783852387185,16,1,1.0,116
Sửa chữa và bảo dưỡng máy lạnh,29,6.200859223101434,21,0,0.5,176
Sửa chữa và bảo dưỡng lò vi sóng,30,22.30527032073612,5,0,0.5,120
Sửa chữa và bảo dưỡng xe máy,2,5.043506456044216,1,0,0.5,76
Sửa chữa và bảo dưỡng máy tính,7,4.634358825531539,22,0,1.0,77
Sửa chữa và bảo dưỡng lò vi sóng,35,0.872721562148676,6,0,0.5,162
Sửa chữa và bảo dưỡng máy giặt,23,25.105290493386615,17,1,1.0,147
Sửa chữa và bảo dưỡng TV,31,3.3885297459270993,5,0,1.0,181
Sửa chữa và bảo dưỡng ô tô,6,16.18799522669251,19,1,1.0,222
Sửa chữa và bảo dưỡng xe máy,22,25.085734650661525,21,0,0.5,107
Sửa chữa và bảo dưỡng điện dân dụng,39,4.3167736419103955,12,0,1.0,154
Sửa chữa và bảo dưỡng máy lạnh,40,2.0230164636825254,15,1,0.0,213
Sửa chữa và bảo dưỡng laptop,1,1.810231609578075,17,1,1.0,119
Sửa chữa và bảo dưỡng lò vi sóng,15,22.08672920381518,18,1,1.0,102
Sửa chữa và bảo dưỡng quạt điện,9,28.493351738377047,7,1,0.5,47
Sửa chữa và bảo dưỡng điện dân dụng,24,5.2021669232901955,14,1,0.5,129
Sửa chữa và bảo dưỡng laptop,26,0.7339219226490159,19,1,1.0,159
Sửa chữa và bảo dưỡng điện dân dụng,12,11.739863110021343,12,0,0.0,93
Sửa chữa và bảo dưỡng máy tính,26,1.010370347524082,9,1,0.0,137
Sửa chữa và bảo dưỡng lò vi sóng,19,27.52578234662362,23,0,1.0,113
Sửa chữa và bảo dưỡng máy in,9,7.657757424421876,1,0,0.0,78
Sửa chữa và bảo dưỡng TV,4,3.136771428119251,15,1,1.0,123
Sửa chữa và bảo dưỡng điện thoại,38,3.0661826469123032,2,0,0.0,113
Sửa chữa và bảo dưỡng laptop,20,5.926482399785737,19,1,0.5,139
Sửa chữa và bảo dưỡng TV,16,2.318246365499516,17,1,1.0,155
Sửa chữa và bảo dưỡng máy tính,14,6.798520432812117,2,0,0.5,90
Sửa chữa và bảo dưỡng tủ lạnh,2,9.04026389874923,10,0,0.5,87
Sửa chữa và bảo dưỡng TV,7,28.83294835381617,22,0,1.0,110
Sửa chữa và bảo dưỡng máy lạnh,28,19.91791013923008,7,1,1.0,187
Sửa chữa và bảo dưỡng TV,4,6.787054059812647,5,0,0.5,99
Sửa chữa và bảo dưỡng máy lạnh,3,6.339739304763618,13,0,0.5,153
Sửa chữa và bảo dưỡng điện thoại,19,0.2574088866780724,13,0,0.5,106
Sửa chữa và bảo dưỡng tủ lạnh,13,0.7472968491093392,4,0,0.0,146
Sửa chữa và bảo dưỡng TV,35,5.568097286071785,19,1,0.0,173
Sửa chữa và bảo dưỡng nồi cơm điện,16,0.2160648610973166,12,0,0.0,87
Sửa chữa và bảo dưỡng máy lạnh,22,2.4954404761882465,22,0,1.0,197
Sửa chữa và bảo dưỡng máy lạnh,14,1.3487730932771989,4,0,0.0,161
Sửa chữa và bảo dưỡng nồi cơm điện,10,6.475302582085153,9,1,0.0,67
Sửa chữa và bảo dưỡng laptop,4,7.786195825783493,9,1,0.0,94
Sửa chữa và bảo dưỡng điện dân dụng,6,18.551388088575457,19,1,0.0,89
Sửa chữa và bảo dưỡng máy lạnh,16,2.172245879351456,10,0,1.0,178
Sửa chữa và bảo dưỡng quạt điện,16,5.46815385064852,14,1,0.5,78
Sửa chữa và bảo dưỡng hệ thống nước,20,4.8443648835114885,23,0,1.0,173
Sửa chữa và bảo dưỡng máy tính,21,7.924933195525517,5,0,1.0,109
Sửa chữa và bảo dưỡng nồi cơm điện,1,28.623198170336604,7,1,1.0,52
Sửa chữa và bảo dưỡng nồi cơm điện,38,16.013695009519157,4,0,1.0,106
Sửa chữa và bảo dưỡng TV,16,4.5106951884444335,18,1,0.5,131
Sửa chữa và bảo dưỡng máy tính,33,2.6818866764862044,9,1,1.0,167
Sửa chữa và bảo dưỡng ô tô,19,25.15350993619371,19,1,0.5,194
Sửa chữa và bảo dưỡng điện thoại,5,3.903037914507649,4,0,0.0,55
Sửa chữa và bảo dưỡng hệ thống nước,37,2.2121209006187583,9,1,0.5,184
Sửa chữa và bảo dưỡng nồi cơm điện,13,6.102156410573819,8,1,0.0,78
Sửa chữa và bảo dưỡng điện dân dụng,33,3.0490349676708197,16,1,0.0,156
Sửa chữa và bảo dưỡng máy giặt,16,18.81374813117114,13,0,1.0,145
Sửa chữa và bảo dưỡng tủ lạnh,7,0.9483269445064235,16,1,0.0,141
Sửa chữa và bảo dưỡng điện thoại,21,0.676033350752627,11,0,1.0,113
Sửa chữa và bảo dưỡng điện thoại,6,27.27610636526028,7,1,0.0,50
Sửa chữa và bảo dưỡng tủ lạnh,37,13.831348784484636,20,0,1.0,173
Sửa chữa và bảo dưỡng TV,1,1.3510408479909854,1,0,0.5,109
Sửa chữa và bảo dưỡng nồi cơm điện,49,7.820658664527197,22,0,0.0,132
Sửa chữa và bảo dưỡng máy giặt,14,1.945771138988845,21,0,0.5,136
Sửa chữa và bảo dưỡng ô tô,12,26.518033618225054,19,1,1.0,215
Sửa chữa và bảo dưỡng máy tính,6,3.707618170707684,9,1,0.0,80
Sửa chữa và bảo dưỡng laptop,1,17.775686699896273,10,0,0.5,78
Sửa chữa và bảo dưỡng TV,6,0.08058177347491191,19,1,0.0,128
Sửa chữa và bảo dưỡng máy lạnh,2,7.115878712391077,22,0,0.5,132
Sửa chữa và bảo dưỡng lò vi sóng,24,27.56964548250139,1,0,0.5,110
Sửa chữa và bảo dưỡng TV,29,6.186480881497542,19,1,0.5,150
Sửa chữa và bảo dưỡng máy in,4,17.125421860203716,19,1,0.5,81
Sửa chữa và bảo dưỡng quạt điện,7,28.391690724646658,19,1,0.5,41
Sửa chữa và bảo dưỡng quạt điện,31,0.055204664040541696,3,0,0.5,113
Sửa chữa và bảo dưỡng máy lạnh,2,6.087633065110733,3,0,0.0,123
Sửa chữa và bảo dưỡng điện thoại,38,5.642853463732141,11,0,0.5,139
Sửa chữa và bảo dưỡng điện thoại,8,5.65731862486886,23,0,0.0,61
Sửa chữa và bảo dưỡng máy lạnh,3,2.0064527818804976,23,0,0.0,123
Sửa chữa và bảo dưỡng máy lạnh,24,29.84682357740801,5,0,0.5,162
Sửa chữa và bảo dưỡng điện dân dụng,27,6.300335660359299,17,1,1.0,154
Sửa chữa và bảo dưỡng xe máy,16,1.3245489740632448,13,0,1.0,129
Sửa chữa và bảo dưỡng quạt điện,4,0.9429756736575426,3,0,1.0,77
Sửa chữa và bảo dưỡng TV,33,0.17886730943430884,13,0,0.0,163
Sửa chữa và bảo dưỡng tủ lạnh,28,7.696323977552226,23,0,0.0,165
Sửa chữa và bảo dưỡng điện dân dụng,1,2.8978326124003,1,0,0.0,100
Sửa chữa và bảo dưỡng xe máy,11,0.09373985690801234,11,0,0.5,121
Sửa chữa và bảo dưỡng nồi cơm điện,8,2.6505602810225066,14,1,0.5,79
Sửa chữa và bảo dưỡng quạt điện,48,5.034107124227845,22,0,0.0,134
Sửa chữa và bảo dưỡng máy lạnh,5,7.928109297958862,6,0,1.0,147
Sửa chữa và bảo dưỡng quạt điện,10,12.876625787680851,15,1,1.0,53
Sửa chữa và bảo dưỡng điện thoại,7,22.752184400873418,23,0,1.0,59
Sửa chữa và bảo dưỡng lò vi sóng,41,26.012593093909093,17,1,0.5,156
Sửa chữa và bảo dưỡng máy tính,23,2.507458595477095,4,0,1.0,120
Sửa chữa và bảo dưỡng xe máy,28,11.463633203552558,3,0,0.5,120
Sửa chữa và bảo dưỡng ô tô,17,12.883011586002134,11,0,0.5,230
Sửa chữa và bảo dưỡng laptop,1,11.612378066555609,9,1,0.5,86
Sửa chữa và bảo dưỡng máy tính,33,18.82834476117776,14,1,0.0,116
Sửa chữa và bảo dưỡng laptop,17,17.172170666239936,4,0,0.5,103
Sửa chữa và bảo dưỡng máy lạnh,33,7.455018981566128,5,0,0.0,186
Sửa chữa và bảo dưỡng ô tô,17,11.584492018879672,7,1,1.0,223
Sửa chữa và bảo dưỡng hệ thống nước,5,4.48169283327112,11,0,0.0,88
Sửa chữa và bảo dưỡng laptop,9,5.029119981932443,13,0,0.0,115
Sửa chữa và bảo dưỡng máy lạnh,34,5.099850119498619,1,0,0.5,220
Sửa chữa và bảo dưỡng điện dân dụng,23,1.280773625680558,3,0,1.0,156
Sửa chữa và bảo dưỡng quạt điện,33,3.591614257761285,10,0,1.0,112
Sửa chữa và bảo dưỡng máy tính,1,26.017670845366215,4,0,0.5,38
Sửa chữa và bảo dưỡng máy in,7,5.019039404715866,4,0,0.0,75
Sửa chữa và bảo dưỡng lò vi sóng,29,20.5366350328376,4,0,0.0,125
Sửa chữa và bảo dưỡng máy lạnh,3,15.811196341719008,21,0,0.5,120
Sửa chữa và bảo dưỡng quạt điện,15,21.278159297233756,5,0,0.5,52
Sửa chữa và bảo dưỡng máy tính,12,5.855264074421889,11,0,0.0,87
Sửa chữa và bảo dưỡng lò vi sóng,29,21.610266213820115,13,0,0.5,118
Sửa chữa và bảo dưỡng xe máy,39,5.806434387913872,5,0,1.0,164
Sửa chữa và bảo dưỡng hệ thống nước,26,7.929707308736554,5,0,0.5,150
Sửa chữa và bảo dưỡng máy tính,29,1.3398012939828559,5,0,1.0,142
Sửa chữa và bảo dưỡng máy lạnh,5,4.90764853855374,7,1,0.5,148
Sửa chữa và bảo dưỡng laptop,18,2.5210099582328978,1,0,0.5,136
Sửa chữa và bảo dưỡng nồi cơm điện,35,2.6715175513055316,23,0,0.0,118
Sửa chữa và bảo dưỡng xe máy,23,12.713681772079488,16,1,1.0,123
Sửa chữa và bảo dưỡng nồi cơm điện,4,0.8840013650744144,21,0,0.5,70
Sửa chữa và bảo dưỡng laptop,13,4.018831297659999,8,1,0.5,114
Sửa chữa và bảo dưỡng máy giặt,5,23.795584271416597,21,0,0.5,106
Sửa chữa và bảo dưỡng điện thoại,6,6.688361258699375,10,0,1.0,67
Sửa chữa và bảo dưỡng lò vi sóng,16,1.7915980579774138,18,1,0.5,128
Sửa chữa và bảo dưỡng ô tô,21,20.232050074691152,22,0,0.0,176
Sửa chữa và bảo dưỡng ô tô,11,13.50126972646456,9,1,1.0,240
Sửa chữa và bảo dưỡng TV,2,10.675869964549761,21,0,0.5,88
Sửa chữa và bảo dưỡng tủ lạnh,21,0.38452499609528723,4,0,0.5,161
Sửa chữa và bảo dưỡng quạt điện,22,26.008731414098136,17,1,0.0,66
Sửa chữa và bảo dưỡng quạt điện,9,26.750103787089696,0,0,1.0,44
Sửa chữa và bảo dưỡng lò vi sóng,7,4.950278158368032,21,0,0.5,87
Sửa chữa và bảo dưỡng laptop,29,1.7430285586505314,0,0,0.5,157
Sửa chữa và bảo dưỡng máy tính,1,4.444959962622583,17,1,0.0,71
Sửa chữa và bảo dưỡng lò vi sóng,10,3.813201431860472,17,1,1.0,115
Sửa chữa và bảo dưỡng điện dân dụng,2,6.527388724503738,13,0,1.0,103
Sửa chữa và bảo dưỡng tủ lạnh,18,0.7028998926711634,1,0,0.0,162
Sửa chữa và bảo dưỡng nồi cơm điện,41,18.565978540876998,15,1,1.0,130
Sửa chữa và bảo dưỡng điện thoại,19,4.707031020986096,6,0,0.0,74
Sửa chữa và bảo dưỡng TV,18,28.98779769995557,11,0,0.5,125
Sửa chữa và bảo dưỡng xe máy,32,6.710002529100549,12,0,1.0,149
Sửa chữa và bảo dưỡng máy giặt,10,1.06222815507336,7,1,0.0,145
Sửa chữa và bảo dưỡng máy in,6,0.1751318518609991,8,1,0.0,101
Sửa chữa và bảo dưỡng lò vi sóng,10,4.728133565120244,1,0,1.0,98
Sửa chữa và bảo dưỡng lò vi sóng,20,7.5454472763585,18,1,0.5,121
Sửa chữa và bảo dưỡng nồi cơm điện,17,1.394102045692371,9,1,0.0,88
Sửa chữa và bảo dưỡng máy lạnh,25,3.7221713008159245,12,0,1.0,191
Sửa chữa và bảo dưỡng điện thoại,27,8.756222390817953,1,0,1.0,105
Sửa chữa và bảo dưỡng TV,16,25.51969815668126,5,0,0.0,102
Sửa chữa và bảo dưỡng máy lạnh,29,15.307171028359207,12,0,0.0,177
Sửa chữa và bảo dưỡng máy in,18,1.0249011686195093,1,0,1.0,123
Sửa chữa và bảo dưỡng điện thoại,4,3.0684008679693497,14,1,1.0,72
Sửa chữa và bảo dưỡng máy giặt,28,2.617259865053872,14,1,0.0,174
Sửa chữa và bảo dưỡng xe máy,37,7.455712141237148,22,0,0.5,150
Sửa chữa và bảo dưỡng TV,33,4.445366179991366,23,0,0.0,174
Sửa chữa và bảo dưỡng tủ lạnh,24,5.249316178083159,1,0,0.5,152
Sửa chữa và bảo dưỡng ô tô,28,4.969840229905717,10,0,1.0,257
Sửa chữa và bảo dưỡng nồi cơm điện,12,4.316023244461738,0,0,0.5,65
Sửa chữa và bảo dưỡng quạt điện,32,26.776907714147676,4,0,0.0,80
Sửa chữa và bảo dưỡng máy in,25,0.09499739142221442,11,0,0.5,143
Sửa chữa và bảo dưỡng máy tính,32,28.109567065417362,15,1,0.0,122
Sửa chữa và bảo dưỡng TV,5,3.6391553342430734,7,1,0.5,102
Sửa chữa và bảo dưỡng máy lạnh,21,1.898586830440888,3,0,0.5,168
Sửa chữa và bảo dưỡng lò vi sóng,22,6.858781821134993,0,0,0.0,111
Sửa chữa và bảo dưỡng ô tô,1,0.34408167634434894,17,1,1.0,216
Sửa chữa và bảo dưỡng TV,16,2.47258138999956,5,0,0.5,130
Sửa chữa và bảo dưỡng nồi cơm điện,43,0.8657371218533149,17,1,0.5,159
Sửa chữa và bảo dưỡng máy lạnh,1,2.3992881029736246,1,0,0.5,159
Sửa chữa và bảo dưỡng quạt điện,16,3.710214866716531,18,1,0.5,76
Sửa chữa và bảo dưỡng lò vi sóng,5,0.3173063887866564,1,0,1.0,118
Sửa chữa và bảo dưỡng điện dân dụng,12,0.7618901305713823,23,0,1.0,140
Sửa chữa và bảo dưỡng laptop,14,5.781780053720974,0,0,1.0,124
Sửa chữa và bảo dưỡng tủ lạnh,30,6.132132465753607,11,0,0.5,169
Sửa chữa và bảo dưỡng laptop,27,7.849126398739055,21,0,0.0,135
Sửa chữa và bảo dưỡng máy in,21,29.016358996120182,18,1,0.5,103
Sửa chữa và bảo dưỡng máy lạnh,4,7.995811501636463,12,0,0.0,115
Sửa chữa và bảo dưỡng TV,19,20.89539202961823,1,0,0.0,123
Sửa chữa và bảo dưỡng nồi cơm điện,7,17.576595420408466,14,1,1.0,60
Sửa chữa và bảo dưỡng tủ lạnh,15,24.223890516338006,1,0,1.0,126
Sửa chữa và bảo dưỡng laptop,12,2.4519635155920922,3,0,0.5,127
Sửa chữa và bảo dưỡng máy giặt,23,5.007055353406909,20,0,0.0,143
Sửa chữa và bảo dưỡng máy tính,23,22.84288801283519,3,0,1.0,110
Sửa chữa và bảo dưỡng quạt điện,22,2.0613995302652173,11,0,1.0,94
Sửa chữa và bảo dưỡng điện dân dụng,15,1.3289930902633658,8,1,0.0,119
Sửa chữa và bảo dưỡng ô tô,7,21.301705559129758,21,0,0.0,161
Sửa chữa và bảo dưỡng lò vi sóng,14,18.576320415217083,12,0,0.5,92
Sửa chữa và bảo dưỡng máy in,24,0.8847153480433304,21,0,1.0,150
Sửa chữa và bảo dưỡng laptop,7,4.38443500618478,19,1,0.0,121
Sửa chữa và bảo dưỡng nồi cơm điện,32,3.1594854413263995,1,0,0.5,109
Sửa chữa và bảo dưỡng máy tính,23,7.065056536234827,17,1,1.0,131
Sửa chữa và bảo dưỡng xe máy,3,2.9169577674126486,2,0,0.0,92
Sửa chữa và bảo dưỡng laptop,18,2.125963214218156,4,0,0.0,120
Sửa chữa và bảo dưỡng điện dân dụng,19,4.529219035573298,17,1,0.0,118
Sửa chữa và bảo dưỡng máy in,34,0.1936757705199067,20,0,0.0,151
Sửa chữa và bảo dưỡng máy giặt,31,6.300388224808978,11,0,0.5,178
Sửa chữa và bảo dưỡng nồi cơm điện,15,19.296181471273552,19,1,0.5,67
Sửa chữa và bảo dưỡng máy lạnh,6,6.110648387902266,12,0,0.5,153
Sửa chữa và bảo dưỡng hệ thống nước,16,2.6055854135842735,9,1,1.0,162
Sửa chữa và bảo dưỡng hệ thống nước,38,17.281804484610085,15,1,0.5,162
Sửa chữa và bảo dưỡng quạt điện,28,10.425230620116768,7,1,0.0,81
Sửa chữa và bảo dưỡng máy lạnh,25,4.109512968120175,11,0,0.5,189
Sửa chữa và bảo dưỡng điện thoại,5,5.323944812641354,15,1,0.5,77
Sửa chữa và bảo dưỡng máy tính,12,3.815637637271738,12,0,0.5,99
Sửa chữa và bảo dưỡng tủ lạnh,10,7.871642952842039,3,0,0.5,139
Sửa chữa và bảo dưỡng máy lạnh,35,29.24450584268009,4,0,0.5,201
Sửa chữa và bảo dưỡng máy in,8,11.142451771616939,10,0,1.0,69
Sửa chữa và bảo dưỡng hệ thống nước,2,3.674581443068165,7,1,0.0,102
Sửa chữa và bảo dưỡng tủ lạnh,38,29.318806076534955,19,1,0.0,161
Sửa chữa và bảo dưỡng laptop,1,9.071768719714132,18,1,0.5,72
Sửa chữa và bảo dưỡng xe máy,2,20.344944266995135,16,1,0.5,70
Sửa chữa và bảo dưỡng điện dân dụng,28,16.179283241009834,5,0,0.5,127
Sửa chữa và bảo dưỡng TV,50,6.200555804718467,16,1,1.0,222
Sửa chữa và bảo dưỡng máy lạnh,12,7.484904188277893,20,0,1.0,149
Sửa chữa và bảo dưỡng máy in,7,2.694461668877278,16,1,1.0,118
Sửa chữa và bảo dưỡng hệ thống nước,14,1.8795125049031651,22,0,0.0,124
Sửa chữa và bảo dưỡng máy giặt,9,1.1254179391247812,22,0,1.0,158
Sửa chữa và bảo dưỡng máy tính,24,20.469254483172513,10,0,1.0,112
Sửa chữa và bảo dưỡng hệ thống nước,34,3.6070612648656115,8,1,0.0,178
Sửa chữa và bảo dưỡng tủ lạnh,38,2.1243634554373956,19,1,0.0,194
Sửa chữa và bảo dưỡng máy in,9,2.176867433954087,2,0,0.5,93
Sửa chữa và bảo dưỡng máy in,1,6.339002703586528,5,0,0.0,63
Sửa chữa và bảo dưỡng điện thoại,35,6.778703882516541,12,0,0.5,128
Sửa chữa và bảo dưỡng nồi cơm điện,21,0.7363664478317298,4,0,0.0,93
Sửa chữa và bảo dưỡng laptop,10,3.9003968808170573,14,1,0.0,115
